year,text
2015,"The Peak of Millennial Meme Culture
Events: The legalization of same-sex marriage (Obergefell v. Hodges); the discovery of liquid water on Mars; the debut of Hamilton on Broadway.

Phrases: ""The Dress"" (Blue/Black vs. White/Gold); ""On fleek""; ""Netflix and chill""; ""Left Shark"" (Super Bowl XLIX).

People: Caitlyn Jenner; Lin-Manuel Miranda; Adele ; Donald Trump (announces candidacy).

Places: Paris (Bataclan/Charlie Hebdo); Pluto (New Horizons flyby); Nepal (7.8 earthquake)."
2016,"The Year of the Political Glitch
Events: The Brexit referendum; the US Election; the Pokémon GO summer; the Rio Olympics.

Phrases: ""Dicks out for Harambe""; ""Drain the swamp""; ""Damn Daniel""; ""Post-truth"" (Oxford Word of the Year).

People: Donald Trump; Hillary Clinton; Harambe (the gorilla); David Bowie & Prince (passing).

Places: Rio de Janeiro; Flint, Michigan (water crisis); Cleveland (Cavaliers' 3-1 comeback)."
2017,"The Social Reckoning & Absurdity
Events: The #MeToo movement; the Great American Solar Eclipse; the Fyre Festival disaster; the Women's March.

Phrases: ""Covfefe""; ""Nevertheless, she persisted""; ""Alternative facts""; ""Salt Bae.""

People: The Silence Breakers (Time POY); Gal Gadot (Wonder Woman); Harvey Weinstein; Cardi B (Bodak Yellow).

Places: Charlottesville, VA; Mar-a-Lago; Manchester Arena; the ""Path of Totality."""
2018,"Pop Culture Saturation
Events: The Thai Cave Rescue; Prince Harry & Meghan's Royal Wedding; the Tide Pod challenge; the Avengers: Infinity War ""Snap.""

Phrases: ""Yanny or Laurel""; ""Thank u, next""; ""Weird flex but okay""; ""Fortnite Default Dance.""

People: Kylie Jenner (Stormi's birth); Elon Musk (Falcon Heavy launch); Greta Thunberg (starts school strike).

Places: Tham Luang Cave; Windsor Castle; Wakanda (fictional, but massive search/token volume)."
2019,"Generational Warfare
Events: The Notre-Dame fire; the first image of a Black Hole; the pro-democracy protests in Hong Kong.

Phrases: ""OK Boomer""; ""And I oop—""; ""VSCO girl"" (sksksk); ""Rise and shine"" (Kylie Jenner).

People: Baby Yoda (Grogu); Billie Eilish; Lil Nas X (Old Town Road); Bong Joon-ho (Parasite).

Places: Wuhan (detected late Dec); Notre-Dame de Paris; M87* (the black hole location)."
2020,"The Pandemic Pivot
Events: COVID-19 lockdowns; George Floyd protests; the Australian wildfires; the Biden/Harris election.

Phrases: ""Social distancing""; ""In these unprecedented times""; ""You're on mute""; ""Flatten the curve.""

People: Dr. Anthony Fauci; Joe Exotic (Tiger King); Kobe Bryant (passing); Kamala Harris.

Places: Wuhan; Minneapolis; Bergamo, Italy; The Zoom Room (digital ubiquity)."
2021,"Digital Gold Rushes
Events: The January 6th Capitol Attack; the Ever Given Suez Canal blockage; the NFT/Crypto mania; the GameStop/WallStreetBets short squeeze.

Phrases: ""To the moon!""; ""Cheugy""; ""Gaslight, Gatekeep, Girlboss""; ""Caught in 4k.""

People: Bernie Sanders (mittens meme); Olivia Rodrigo (Drivers License); Simone Biles (the ""Twisties"").

Places: The U.S. Capitol; Suez Canal; Kabul (U.S. withdrawal); The Metaverse."
2022,"The Post-Normal Reality
Events: The Russian invasion of Ukraine; the death of Queen Elizabeth II; the Will Smith Oscars slap; the Depp v. Heard trial.

Phrases: ""Wordle 241 3/6""; ""Goblin mode""; ""Quiet quitting""; ""Slava Ukraini.""

People: Volodymyr Zelenskyy; Queen Elizabeth II; Andrew Tate (deplatforming); Pete Davidson.

Places: Kyiv and Mariupol; Balmoral Castle; Qatar (World Cup)."
2023,"The Year of the Eras & AI
Events: Taylor Swift's Eras Tour (economic phenomenon); the Barbenheimer weekend (Barbie + Oppenheimer); the Titan Submersible implosion; the Twitter-to-X rebrand.

Phrases: ""Barbenheimer""; ""Delulu""; ""Roman Empire"" (What is your...?); ""Scandoval"" (Vanderpump Rules drama).

People: Taylor Swift (Time Person of the Year); Pedro Pascal (The Internet's Daddy); Angela Bassett (""Did the thing""); Sam Smith (latex costume).

Places: Arizona (Eras Tour launch); Utah (Gwyneth Paltrow ski trial); North Atlantic (Titanic site)."
2024,"The Year of ""Brat"" & ""Demure""
Events: The Paris Olympics; the US Election (Trump vs. Harris/Walz); the Kendrick Lamar vs. Drake feud; the Oasis reunion announcement.

Phrases: ""Brat Summer"" (Charli XCX); ""Very demure, very mindful""; ""Coconut tree"" (Kamala Harris); ""Brain rot"" (Oxford Word of the Year).

People: Kamala Harris; Donald Trump; Charli XCX; Chappell Roan; Moo Deng (baby pygmy hippo); Raygun (Olympic breakdancer).

Places: Paris (Olympics); Khao Kheow Open Zoo (Thailand); Bondi (fake Crumbl Cookie pop-up)."
invariant,"Machine learning models can be fine-tuned on domain-specific data. The quick brown fox jumps over the lazy dog. Water boils at one hundred degrees Celsius at sea level. The Earth orbits the Sun once every three hundred and sixty-five days. Photosynthesis converts sunlight into chemical energy in plants. The speed of light in a vacuum is approximately three hundred thousand kilometers per second. DNA carries the genetic instructions for all known living organisms. Gravity pulls objects toward the center of mass of larger bodies. The periodic table organizes chemical elements by atomic number. Sound travels faster through water than through air. An algorithm is a step-by-step procedure for solving a problem. The mitochondria generate most of the cell's supply of energy. Tectonic plates shift and collide beneath the surface of the Earth. Binary code represents data using sequences of ones and zeros. Atoms consist of protons and neutrons in a nucleus surrounded by electrons. Ocean currents distribute heat energy around the globe. A triangle's interior angles always sum to one hundred and eighty degrees."
